sequenceNumber; roll; pitch; yaw; (accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 
147; -1.4664; -0.3536; 103.5606; -0.0605; 0.1660; -9.8145;   0.01;  -0.03;   0.88;  -0.27;   0.14;   0.06 
148; -1.4591; -0.3594; 103.9698; -0.0850; 0.3525; -9.8125;   0.01;  -0.03;   0.89;  -0.27;   0.14;   0.07 
149; -1.4519; -0.3653; 104.3787; -0.0049; 0.1992; -9.7881;   0.01;  -0.03;   0.89;  -0.27;   0.14;   0.06 
150; -1.4544; -0.3699; 104.7850; -0.0410; 0.2969; -9.7861;   0.01;  -0.03;   0.89;  -0.27;   0.14;   0.06 
151; -1.4471; -0.3758; 105.1899; -0.0869; 0.2256; -9.8232;   0.01;  -0.03;   0.88;  -0.27;   0.14;   0.06 
152; -1.4442; -0.3763; 105.5945; -0.0508; 0.2539; -9.7900;   0.01;  -0.03;   0.89;  -0.27;   0.14;   0.06 
153; -1.4372; -0.3823; 106.0075; -0.0488; 0.3320; -9.7734;   0.01;  -0.03;   0.89;  -0.26;   0.13;   0.06 
154; -1.4400; -0.3869; 106.4189; -0.0391; 0.2998; -9.8125;   0.01;  -0.03;   0.88;  -0.28;   0.14;   0.06 
155; -1.4329; -0.3931; 106.8194; -0.0215; 0.1230; -9.8066;   0.01;  -0.03;   0.88;  -0.28;   0.14;   0.07 
156; -1.4303; -0.3936; 107.2293; -0.0508; 0.2939; -9.7695;   0.01;  -0.04;   0.89;  -0.27;   0.14;   0.07 
157; -1.4290; -0.4039; 107.6366; -0.0684; 0.3604; -9.7666;   0.01;  -0.04;   0.90;  -0.27;   0.13;   0.06 
158; -1.4263; -0.4045; 108.0437; -0.0625; 0.1426; -9.8223;   0.01;  -0.03;   0.89;  -0.28;   0.13;   0.07 
159; -1.4196; -0.4108; 108.4496; -0.0166; 0.2158; -9.7842;   0.01;  -0.03;   0.89;  -0.27;   0.13;   0.06 
160; -1.4185; -0.4211; 108.8623; -0.0127; 0.1494; -9.8223;   0.01;  -0.04;   0.89;  -0.28;   0.13;   0.06 
161; -1.4160; -0.4218; 109.2666; -0.0947; 0.3037; -9.8018;   0.01;  -0.03;   0.89;  -0.27;   0.14;   0.05 
162; -1.4095; -0.4282; 109.6779; -0.0801; 0.2471; -9.8037;   0.01;  -0.03;   0.88;  -0.28;   0.14;   0.06 
163; -1.4069; -0.4290; 110.0795; -0.0918; 0.4521; -9.8496;   0.01;  -0.03;   0.89;  -0.28;   0.14;   0.06 
164; -1.4061; -0.4394; 110.4880; -0.0791; 0.2168; -9.7744;   0.01;  -0.03;   0.89;  -0.28;   0.14;   0.06 
