sequenceNumber; roll; pitch; yaw; (accel:) x; y; z; (gyro:) X; Y; Z; (mag:) X; Y; Z 
11017; -4.9487; -2.7522; -122.7006; -0.1299; 0.4053; -9.8887;   0.01;  -0.02;   0.62;  -0.38;   0.42;   0.04 
11018; -4.9620; -2.7364; -122.4141; -0.2100; 0.4414; -9.9219;   0.01;  -0.02;   0.63;  -0.37;   0.43;   0.04 
11019; -4.9687; -2.7237; -122.1182; -0.2373; 0.4805; -10.0176;   0.01;  -0.02;   0.64;  -0.37;   0.43;   0.03 
11020; -4.9728; -2.7046; -121.8240; -0.1982; 0.5059; -9.9600;   0.01;  -0.02;   0.65;  -0.37;   0.42;   0.03 
11021; -4.9859; -2.6880; -121.5194; -0.1328; 0.5098; -9.8779;   0.01;  -0.02;   0.67;  -0.37;   0.43;   0.02 
11022; -4.9927; -2.6748; -121.2143; -0.0957; 0.4326; -9.8359;   0.01;  -0.02;   0.68;  -0.37;   0.42;   0.03 
11023; -5.0000; -2.6612; -120.9012; -0.1201; 0.4092; -9.8760;   0.01;  -0.02;   0.69;  -0.37;   0.43;   0.03 
11024; -5.0103; -2.6375; -120.5805; -0.1543; 0.4053; -9.8975;   0.01;  -0.02;   0.70;  -0.38;   0.43;   0.03 
11025; -5.0179; -2.6234; -120.2587; -0.1660; 0.3320; -9.9189;   0.01;  -0.02;   0.71;  -0.37;   0.43;   0.03 
11026; -5.0252; -2.6092; -119.9360; -0.0771; 0.2803; -9.9482;   0.01;  -0.02;   0.72;  -0.37;   0.44;   0.04 
11027; -5.0352; -2.5849; -119.5966; -0.1104; 0.3115; -9.8896;   0.01;  -0.03;   0.73;  -0.37;   0.43;   0.03 
11028; -5.0424; -2.5701; -119.2559; -0.1006; 0.2480; -9.9248;   0.01;  -0.03;   0.75;  -0.36;   0.43;   0.03 
11029; -5.0563; -2.5514; -118.9158; -0.1172; 0.2891; -9.9160;   0.01;  -0.03;   0.76;  -0.37;   0.42;   0.03 
